Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470uF","CP_Radial_D10.0mm_P5.00mm",123.740000,-108.530000,90.000000,top
"C2","470uF","CP_Radial_D10.0mm_P5.00mm",123.740000,-121.047677,90.000000,top
"C3","0.33uF","C_Disc_D4.3mm_W1.9mm_P5.00mm",119.390000,-133.980000,90.000000,top
"C4","0.33uF","C_Disc_D4.3mm_W1.9mm_P5.00mm",131.640000,-134.030000,90.000000,top
"C5","0.1uF","C_Disc_D4.3mm_W1.9mm_P5.00mm",125.290000,-133.980000,90.000000,top
"J1","Barrel_Jack","PinHeader_1x03_P2.54mm_Vertical",112.290000,-62.500000,0.000000,top
"J2","Buttons","PinHeader_1x05_P2.54mm_Vertical",112.290000,-86.130000,0.000000,top
"J3","LCD","PinHeader_1x04_P2.54mm_Vertical",165.540000,-128.300000,0.000000,top
"J4","Selector","PinHeader_1x03_P2.54mm_Vertical",165.690000,-93.360000,0.000000,top
"J5","AD9833","PinSocket_1x06_P2.54mm_Vertical",165.840000,-73.150000,0.000000,top
"J6","50-ohm BNC","BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",141.010000,-67.960000,0.000000,top
"J7","Barrel_Jack","PinHeader_1x03_P2.54mm_Vertical",165.840000,-61.050000,0.000000,top
"Q1","TIP41","TO-220-3_Vertical",113.290000,-108.580000,90.000000,top
"Q2","TIP42","TO-220-3_Vertical",113.290000,-120.930000,90.000000,top
"R1","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",142.980000,-79.430000,0.000000,top
"R2","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",142.980000,-85.780000,0.000000,top
"R3","22k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",142.980000,-92.180000,0.000000,top
"R4","2k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",142.980000,-98.780000,0.000000,top
"R5","22k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",143.020000,-105.230000,0.000000,top
"R6","2k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",143.020000,-111.830000,0.000000,top
"R7","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",142.870000,-118.230000,0.000000,top
"R8","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",142.870000,-124.580000,0.000000,top
"RV1","10k","PinHeader_1x03_P2.54mm_Vertical",165.640000,-104.830000,0.000000,top
"RV2","10k","PinHeader_1x03_P2.54mm_Vertical",165.640000,-116.820000,0.000000,top
"SW1","SW_SPDT","PinHeader_1x03_P2.54mm_Vertical",112.290000,-74.480000,0.000000,top
"U1","LM358","DIP-8_W7.62mm",120.360000,-96.030000,90.000000,top
"U2","STM32 Blue Pill","Blue_Pill",139.150000,-76.220000,0.000000,top
"U3","L7805","TO-220-3_Vertical",113.290000,-134.030000,90.000000,top
"U4","LM6171","SOIC-8_3.9x4.9mm_P1.27mm",123.705000,-79.825000,90.000000,top
"U5","TL071","DIP-8_W7.62mm",120.550000,-71.530000,90.000000,top
